[Event "Rapid C18"]
[Site "Rzeszow"]
[Date "2026.07.11"]
[Round "3.7"]
[White "Borischik, Sergey"]
[Black "Grzebieniowski, Michal"]
[Result "1/2-1/2"]
[WhiteElo "2271"]
[BlackElo "2092"]
[ECO "B12"]
[Variant "Standard"]
[Opening "Caro-Kann Defense: Advance Variation"]

1.e4 c6 2.d4 d5 3.e5 Bf5 4.Bd3 Bxd3 5.Qxd3 e6 6.Ne2 Ne7 7.O-O Ng6 8.Nd2 Be7 9.Nf3 O-O 10.Be3 Nd7 11.c3 f6 12.exf6 Bxf6 13.Nf4 Qe8 14.Nxg6 Qxg6 15.Qxg6 hxg6 16.Rfe1 e5 17.dxe5 Nxe5 18.Nxe5 Bxe5 19.a4 a6 20.Bc5 Rfe8 21.a5 Kf7 22.Kf1 Re6 23.Re3 Rae8 24.Rae1 Bf6 25.Rxe6 Rxe6 26.Rxe6 Kxe6 27.Ke2 Bd8 28.b4 Bf6 29.Kd3 Kf7 30.f4 g5 31.f5 g6 32.fxg6+ Kxg6 33.g4 Be5 34.h3 Bf6 35.Bd4 Be7 36.Be5 Kf7 37.Bg3 Bf6 38.Bf2 Ke6 39.Bd4 Be7 40.Ke3 Kf7 41.Kf3 Ke6 42.Kg3 Bd6+ 43.Kf3 Be7 44.Ke2 Kf7 45.Kd3 Ke6 1/2-1/2
