[Event "Mester"]
[Site "Kristiansund, Norway"]
[Date "2026.07.09"]
[Round "7.2"]
[White "Bjornstad, Hallvard Foss"]
[Black "Strand, Andreas"]
[Result "1-0"]
[WhiteElo "2065"]
[BlackElo "2009"]
[ECO "B12"]
[Variant "Standard"]
[Opening "Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense"]

1.e4 c6 2.d4 d5 3.e5 c5 4.Nf3 Nc6 5.dxc5 e6 6.Be3 Nh6 7.c3 Nf5 8.Bd4 b6 9.Bb5 Bd7 10.Bxc6 Bxc6 11.cxb6 axb6 12.O-O Nxd4 13.Nxd4 Bd7 14.Nd2 Be7 15.f4 O-O 16.Qg4 Bc5 17.Nf3 Bb5 18.Rfd1 Be2 19.Rd2 Bxf3 20.Qxf3 b5 21.Kh1 b4 22.cxb4 Bxb4 23.Rdd1 Bc5 24.Nc2 f6 25.b4 Be7 26.Nd4 Ra6 27.b5 fxe5 28.bxa6 exd4 29.Qe2 Kh8 30.Rab1 Bd6 31.Qxe6 Bxf4 32.Rxd4 Bc7 33.Rdd1 Qh4 34.Qh3 Qa4 35.Rf1 Ra8 36.Rbc1 Qxa6 37.Qf5 Bd6 38.Qxd5 h6 39.Rfd1 Bf4 40.Rc6 Qa4 41.Rc4 Qa6 42.Rxf4 Re8 43.h3 Qe2 44.Qf3 Qe7 45.Rf1 Kg8 46.Rf7 Qd6 47.Rxg7+ 1-0
