[Event "Rapid D18"]
[Site "Rzeszow"]
[Date "2026.07.12"]
[Round "7.3"]
[White "Matskevich, Varvara"]
[Black "Kawka, Milena"]
[Result "0-1"]
[WhiteElo "2056"]
[BlackElo "2039"]
[ECO "B11"]
[Variant "Standard"]
[Opening "Caro-Kann Defense: Two Knights Attack, Mindeno Variation, Exchange Line"]

1.e4 c6 2.Nf3 d5 3.Nc3 Bg4 4.h3 Bxf3 5.Qxf3 e6 6.Be2 Bc5 7.O-O Nd7 8.d3 Ne7 9.Kh1 O-O 10.Qg3 Kh8 11.f4 f5 12.Bd2 b5 13.Bf3 a5 14.Rae1 Bd4 15.Nd1 b4 16.Re2 Ng6 17.Bh5 Ne7 18.Rfe1 dxe4 19.dxe4 fxe4 20.Qb3 Nc5 21.Qc4 Qd5 22.Qxd5 exd5 23.Bg4 g6 24.h4 Bf6 25.g3 Na4 26.b3 Nc5 27.Nf2 Kg7 28.Rc1 Nb7 29.Nd1 c5 30.c4 bxc3 31.Nxc3 Ra6 32.Nb5 Nf5 33.Kg2 Nd4 34.Nxd4 Bxd4 35.Be1 Rd8 36.Rd1 Rad6 37.Bd2 Re8 38.Kh2 Ra8 39.Bc1 Nd8 40.Ba3 Rb6 41.Rc2 Nb7 42.Bc1 a4 43.bxa4 Rxa4 44.Be2 Rab4 45.Ba3 Ra4 46.Bc1 Nd6 47.Kg2 Rb7 48.Bg4 Kf6 49.Be2 Rba7 50.a3 Rb7 51.Bg4 Rc4 52.Re2 Rb1 53.Ree1 Rc2+ 54.Kh3 h5 55.Bd7 Bf2 56.Ba4 Rc3 57.Re2 Rbxc1 58.Rxc1 Rxc1 59.Rxf2 e3 60.Re2 d4 61.Bc2 Rxc2 62.Rxc2 d3 63.Rxc5 e2 64.Re5 d2 0-1
