[Event "2nd Arpad-hazi Jolan Open"]
[Site "Esztergom, Hungary"]
[Date "2026.05.19"]
[Round "2.1"]
[White "Meszaros-Csonka, David"]
[Black "Aczel, Gergely"]
[Result "0-1"]
[WhiteElo "2180"]
[BlackElo "2429"]
[ECO "B13"]
[TimeControl "90 minutes with 30 second increment from move 1"]
[Variant "Standard"]
[Opening "Caro-Kann Defense: Exchange Variation, Rubinstein Variation"]

1.e4 c6 2.d4 d5 3.exd5 cxd5 4.Bd3 Nf6 5.c3 Nc6 6.Bf4 Bg4 7.Qb3 Qc8 8.Nd2 e6 9.Ngf3 Be7 10.O-O O-O 11.Rae1 Bh5 12.Ne5 Nxe5 13.Bxe5 Nd7 14.Bg3 Bg6 15.Bxg6 hxg6 16.Rc1 Bg5 17.Rc2 Bxd2 18.Rxd2 Qc6 19.a4 a6 20.a5 b5 21.Qa3 Rac8 22.Rc2 Nf6 23.f3 Rfd8 24.Rd1 Ne8 25.b3 Nd6 26.Bf2 Qd7 27.Rdc1 Rc6 28.Qb4 Rdc8 29.Kf1 Qd8 30.Bg3 Nf5 31.Bf2 Qg5 32.Re1 Qf6 33.Kg1 Qd8 34.Rec1 Nd6 35.Bg3 Nb7 36.Ra1 Qf8 37.Qxf8+ Kxf8 38.Be1 Ke8 39.Rb2 Nd6 40.b4 Kd7 41.Re2 Nf5 42.Raa2 Rxc3 43.Bxc3 Rxc3 44.Rec2 Rxc2 45.Rxc2 Nxd4 46.Rb2 e5 47.Kf2 Nc6 48.Ke3 d4+ 49.Kd2 f5 50.Rb1 Kd6 51.Rc1 Nxb4 52.Rc8 Nc6 53.Ra8 Nxa5 54.Rxa6+ Nc6 55.Ra8 e4 56.fxe4 fxe4 57.Rg8 Kd5 58.Rxg7 e3+ 59.Ke2 Ke4 60.Rxg6 d3+ 61.Kd1 Nd4 62.Rg8 d2 63.h4 Kd3 64.Re8 e2+ 65.Rxe2 Nxe2 0-1
