[Event "Rapid C16"]
[Site "Rzeszow"]
[Date "2026.07.10"]
[Round "3.1"]
[White "Ewiak, Filip"]
[Black "Cieslak, Patryk"]
[Result "0-1"]
[WhiteElo "2021"]
[BlackElo "2406"]
[ECO "C47"]
[Variant "Standard"]
[Opening "Four Knights Game: Scotch Variation, Schmid Defense"]

1.e4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.d4 exd4 5.Nxd4 Nxe4 6.Nxc6 Nxc3 7.Nxd8 Nxd1 8.Nxf7 Kxf7 9.Kxd1 d5 10.Be3 Bf5 11.Kd2 Bd6 12.Bd3 Bxd3 13.Kxd3 a5 14.a4 Rhe8 15.Rhe1 b6 16.b3 Re6 17.g3 h5 18.Bd4 Rae8 19.Rxe6 Rxe6 20.Rd1 g5 21.Be3 Kg6 22.c4 Re5 23.Bd4 dxc4+ 24.Kxc4 Re6 25.Kd5 Kf5 26.Rd3 g4 27.Re3 c6+ 28.Kc4 Rxe3 29.Bxe3 Bc7 30.Kd3 Bd8 31.Bd4 Bc7 32.Be3 Bd8 33.Bd4 b5 34.Be3 Ke5 35.Bc5 Kd5 36.Be3 Be7 37.Bb6 Bb4 38.Be3 Bc5 39.Bd2 Bb6 40.Be1 Bc7 41.f4 gxf3 42.Ke3 bxa4 43.bxa4 Kc4 44.Kxf3 Kb3 45.h4 c5 46.g4 hxg4+ 47.Kxg4 c4 48.Kf5 c3 49.h5 c2 50.Bd2 Bd6 51.h6 Ba3 52.h7 Bb2 53.Bc1 Bh8 54.Ke6 Kxa4 55.Kf7 Kb3 56.Kg8 Be5 57.Bf4 Ba1 58.h8=Q Bxh8 59.Kxh8 a4 60.Kg7 a3 61.Kf6 a2 0-1
