[Event "rated blitz game"]
[Site "https://lichess.org/AxAapIOG"]
[Date "2026.07.09"]
[Round "-"]
[White "Kiolbasa, Oliwia"]
[Black "Pujari, Rucha"]
[Result "0-1"]
[WhiteElo "2322"]
[BlackElo "2104"]
[ECO "C47"]
[TimeControl "180+2"]
[Variant "Standard"]
[Opening "Four Knights Game"]

1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.h3 a5 5.d4 exd4 6.Nxd4 Nxe4 7.Nxe4 Qe7 8.Qd3 d5 9.Be3 Nxd4 10.Qxd4 Qxe4 11.Qd2 Bb4 12.c3 Bd6 13.O-O-O Bf5 14.Bd3 Qxd3 15.Qxd3 Bxd3 16.Rxd3 c6 17.c4 Kd7 18.cxd5 c5 19.a4 Rhe8 20.Rhd1 Re4 21.b3 Rae8 22.Rc3 b6 23.Kc2 f5 24.Rdd3 f4 25.Bd2 Re2 26.Rf3 g5 27.Kd1 h5 28.g4 hxg4 29.hxg4 R2e4 30.Rh3 R8e7 31.Rcd3 Rf7 32.f3 Rd4 33.Rxd4 cxd4 34.Kc2 Bc5 35.Kd3 Kd6 36.Kc4 Re7 37.Rh6+ Kd7 38.Rf6 Re2 39.Kd3 Re5 40.Rf5 Rxf5 41.gxf5 Ke7 42.Kc4 Kf6 43.b4 axb4 44.Bxb4 Bxb4 45.Kxb4 Kxf5 46.Kb5 d3 0-1
