[Event "Rapid C18"]
[Site "Rzeszow"]
[Date "2026.07.11"]
[Round "4.11"]
[White "Ugorek, Kacper"]
[Black "Ptaszynski, Szymon"]
[Result "1/2-1/2"]
[WhiteElo "2383"]
[BlackElo "2034"]
[ECO "A29"]
[Variant "Standard"]
[Opening "English Opening: King's English Variation, Four Knights Variation, Fianchetto Line"]

1.c4 e5 2.g3 Nf6 3.Bg2 d5 4.cxd5 Nxd5 5.Nf3 Nc6 6.O-O Be6 7.Nc3 Nb6 8.d3 Be7 9.Be3 O-O 10.d4 exd4 11.Nxd4 Nxd4 12.Bxd4 c6 13.b3 Bf6 14.Bxf6 Qxf6 15.Ne4 Qe7 16.Qd6 Rfe8 17.Qxe7 Rxe7 18.Nc5 Rae8 19.Rfd1 Bc8 20.e3 Nd7 21.b4 Nxc5 22.bxc5 Re5 23.Rac1 Kf8 24.e4 R5e7 25.f4 f6 26.Kf2 Be6 27.a3 Rc7 28.Rd6 Rce7 29.Rb1 Bc8 30.Rd4 Rc7 31.a4 Rce7 32.a5 a6 33.Ke3 g6 34.h4 Kg7 35.Rbd1 h5 36.Rd8 f5 37.e5 Rxd8 38.Rxd8 Be6 39.Kd4 Kf7 40.Rd6 Re8 41.Bf1 Re7 42.Bc4 Bxc4 43.Kxc4 Re6 44.Rd8 Re8 45.Rd1 Re7 46.Rd6 Re6 47.Kc3 Re7 48.Kd4 Re6 49.Rd7+ Re7 50.e6+ Kxe6 51.Rxe7+ Kxe7 52.Ke5 Kd7 53.Kf6 b5 54.cxb6 c5 55.Ke5 Kc6 56.b7 1/2-1/2
