[Event "Landsturneringen 2026"]
[Site "Kristiansund, Norway"]
[Date "2026.07.04"]
[Round "2.3"]
[White "Hammer, Jon Ludvig"]
[Black "Mitusov, Semen"]
[Result "1-0"]
[WhiteElo "2574"]
[BlackElo "2479"]
[ECO "A10"]
[Variant "Standard"]
[Opening "English Opening"]

1.c4 a6 2.Nc3 e6 3.e4 c5 4.Nf3 Qc7 5.d4 cxd4 6.Nxd4 Nf6 7.Qf3 b6 8.Qg3 d6 9.Be3 Bb7 10.f3 Nbd7 11.Rc1 Rc8 12.Be2 Qb8 13.O-O g6 14.Qh3 Be7 15.Bh6 Rc5 16.f4 Nxe4 17.Nxe4 Bxe4 18.b4 Rc8 19.Rfe1 Qb7 20.Nxe6 fxe6 21.Qxe6 Nf8 22.Qh3 Kf7 23.Bd1 Nd7 24.Bg4 Rc7 25.Be6+ Ke8 26.Bg7 Rf8 27.Qxh7 Nf6 28.Qh3 Nh5 29.Bxf8 Kxf8 30.g4 Bf6 31.gxh5 gxh5 32.Bd5 Bxd5 33.cxd5 Rg7+ 34.Kf1 Rg4 35.Qxh5 Qd7 36.Rc6 Rxf4+ 37.Kg2 Rh4 38.Qf3 Kg7 39.Re4 Rxe4 40.Qxe4 Be5 41.h3 Qd8 42.Qg4+ Kh7 43.Qf5+ Kg7 44.Rc8 Qe7 45.Qg4+ 1-0
