[Event "Blitz C16"]
[Site "Rzeszow"]
[Date "2026.07.10"]
[Round "6.1"]
[White "Cieslak, Patryk"]
[Black "Brzezina, Piotr"]
[Result "1-0"]
[WhiteElo "2487"]
[BlackElo "2203"]
[ECO "A33"]
[Variant "Standard"]
[Opening "English Opening: Symmetrical Variation, Anti-Benoni Variation, Geller Variation"]

1.c4 Nf6 2.Nc3 c5 3.Nf3 Nc6 4.d4 cxd4 5.Nxd4 e6 6.g3 Qb6 7.Nb3 Ng4 8.e3 Nge5 9.f4 Ng6 10.Bg2 Bb4 11.O-O O-O 12.Nb5 d5 13.cxd5 exd5 14.N5d4 Nxd4 15.Qxd4 Qxd4 16.Nxd4 Ne7 17.Kf2 Bd7 18.Rd1 Rac8 19.a3 Bc5 20.Ne2 Bb6 21.Nc3 Be6 22.Na4 Rc2+ 23.Bd2 Rfc8 24.Bf1 d4 25.Nxb6 dxe3+ 26.Kxe3 axb6 27.Rac1 Nd5+ 28.Kf3 h5 29.h3 Rxb2 30.Rxc8+ Bxc8 31.Bc4 Nf6 32.Bc3 Rc2 33.Rd8+ Kh7 34.Bd3+ 1-0
