[Event "Rapid C16"]
[Site "Rzeszow"]
[Date "2026.07.11"]
[Round "3.2"]
[White "Lecki, Leonard"]
[Black "Iwan, Patryk"]
[Result "1/2-1/2"]
[WhiteElo "2277"]
[BlackElo "2017"]
[ECO "A30"]
[Variant "Standard"]
[Opening "English Opening: Symmetrical Variation"]

1.Nf3 c5 2.c4 Nc6 3.Nc3 e5 4.e3 Nf6 5.d4 e4 6.d5 exf3 7.dxc6 dxc6 8.Qxd8+ Kxd8 9.gxf3 Bd6 10.b3 Kc7 11.Rg1 g6 12.Bb2 Re8 13.O-O-O Bf5 14.h4 Nd7 15.Be2 Rad8 16.Rd2 Be7 17.Rh1 Kc8 18.e4 Be6 19.f4 f5 20.e5 Nf8 21.Bf3 Bf7 22.Ne2 Ne6 23.Bg2 h5 24.Bc3 Bf8 25.Ba5 Rxd2 26.Kxd2 Bh6 27.Ke3 Re7 1/2-1/2
