[Event "Blitz C18"]
[Site "Rzeszow"]
[Date "2026.07.13"]
[Round "9.3"]
[White "Zielonka, Adam"]
[Black "Ugorek, Kacper"]
[Result "0-1"]
[WhiteElo "2180"]
[BlackElo "2229"]
[ECO "A36"]
[Variant "Standard"]
[Opening "English Opening: Symmetrical Variation, Ultra-Symmetrical Variation"]

1.c4 g6 2.Nc3 Bg7 3.g3 c5 4.Bg2 Nc6 5.a3 e6 6.Rb1 Nge7 7.b4 d6 8.Nf3 O-O 9.O-O Rb8 10.bxc5 dxc5 11.Bb2 b6 12.d3 Bb7 13.Ne4 Nd4 14.Nxd4 cxd4 15.a4 f5 16.Ng5 Bxg2 17.Kxg2 Qd7 18.Ba3 h6 19.Nf3 e5 20.Nd2 Rfe8 21.Qb3 Kh7 22.Qb5 Qb7+ 23.f3 a6 24.Qb3 Qc7 25.Rfc1 Nc6 26.Qc2 h5 27.Rb3 Rb7 28.Rcb1 Reb8 29.Bc1 Bf8 30.Ba3 Bh6 31.Bc1 h4 32.gxh4 Qe7 33.Nf1 Qxh4 34.Bxh6 Qxh6 35.Qd2 f4 36.Qb2 Ne7 37.c5 b5 38.axb5 axb5 39.Qc2 Qg5+ 40.Kh1 Qf6 41.Nd2 Nf5 42.Ne4 Qh4 43.Rg1 Kg7 44.c6 Rh8 45.e3 Nxe3 46.Qe2 Rc7 47.Rxb5 Rxc6 48.Rxe5 Rc2 49.Qxc2 Nxc2 0-1
