[Event "Rapid C18"]
[Site "Rzeszow"]
[Date "2026.07.11"]
[Round "6.4"]
[White "Radzimski, Antoni"]
[Black "Terkiewicz, Bruno"]
[Result "1-0"]
[WhiteElo "2336"]
[BlackElo "2267"]
[ECO "A13"]
[Variant "Standard"]
[Opening "English Opening: Agincourt Defense"]

1.c4 e6 2.Nc3 d5 3.e3 Nf6 4.Nf3 b6 5.b3 Bb7 6.Bb2 Nbd7 7.cxd5 exd5 8.d4 Bd6 9.g3 O-O 10.Bg2 a6 11.O-O Qe7 12.Qc2 Rac8 13.Rfd1 Rfe8 14.Rac1 h5 15.Nh4 g6 16.Ne2 Qf8 17.Nf3 Ne4 18.Nf4 h4 19.Ne5 Ndf6 20.f3 Ng5 21.gxh4 Ngh7 22.Qf2 Qh6 23.Re1 Re7 24.a3 Rce8 25.b4 Nh5 26.Nfd3 Ng7 27.e4 f5 28.Rc2 dxe4 29.Bc1 g5 30.hxg5 Nxg5 31.h4 exd3 32.Bxg5 Qh5 33.Rd2 Ne6 34.Bxe7 Rxe7 35.Nxd3 Qh6 36.Ne5 Rg7 37.Kh1 Nf4 38.Rg1 Qh5 39.Bf1 Bxe5 40.dxe5 Bxf3+ 41.Kh2 Ng6 42.Rg5 Qh6 43.Rd8+ Kh7 44.Qxf3 Nxh4 45.Rxg7+ Kxg7 46.Qg3+ Ng6+ 47.Bh3 Qh5 48.Rd7+ Kh6 49.Qe3+ f4 50.Qe4 Qg5 51.Rd3 Nxe5 52.Rc3 f3 53.Qe3 1-0
