[Event "预选赛8进4"]
[Site "chengdu, China"]
[Date "2026.07.17"]
[Round "1.1"]
[White "Xue, Haowen"]
[Black "Yan, Tianqi"]
[Result "1-0"]
[WhiteElo "2460"]
[BlackElo "2281"]
[ECO "A15"]
[TimeControl "15m+10s"]
[Variant "Standard"]
[Opening "English Opening: Anglo-Indian Defense, King's Knight Variation"]

1.c4 Nf6 2.Nf3 e6 3.b3 d5 4.Bb2 Bd6 5.Nc3 O-O 6.g3 b6 7.cxd5 exd5 8.Bg2 Bb7 9.O-O a6 10.e3 Re8 11.Rc1 Nbd7 12.Ne2 Ne5 13.Nxe5 Bxe5 14.Bxe5 Rxe5 15.Qc2 Re7 16.b4 Qd6 17.Qb2 Rc8 18.d4 Ne4 19.Nf4 h6 20.Rc2 Bc6 21.Qb3 Bb5 22.Nxd5 Ree8 23.Rfc1 c5 24.bxc5 bxc5 25.dxc5 Qg6 26.Nf4 Qf6 27.Qb4 Bc6 28.Qd4 Qf5 29.f3 Nf6 30.Bh3 1-0
