[Event "Blitz C18"]
[Site "Rzeszow"]
[Date "2026.07.13"]
[Round "4.4"]
[White "Borischik, Sergey"]
[Black "Nagly, Wojciech"]
[Result "0-1"]
[WhiteElo "2229"]
[BlackElo "2034"]
[ECO "B40"]
[Variant "Standard"]
[Opening "Sicilian Defense: French Variation"]

1.e4 c5 2.Nf3 e6 3.Nc3 Nc6 4.Bb5 Qc7 5.O-O a6 6.Bxc6 bxc6 7.Re1 Be7 8.d3 d5 9.e5 Bd8 10.Ne2 Ne7 11.c4 a5 12.Ng3 Ba6 13.Qc2 h5 14.h3 h4 15.Nf1 Nf5 16.Ne3 Nd4 17.Nxd4 cxd4 18.Ng4 dxc4 19.dxc4 c5 20.Bf4 Qc6 21.f3 Be7 22.Nf2 Rd8 23.Rad1 a4 24.b3 axb3 25.axb3 Rb8 26.Ne4 Qb6 27.Rd3 Bb7 28.Qf2 Bxe4 29.Rxe4 Ra8 30.Re1 Kd7 31.Qd2 Ra3 32.Bg5 f6 33.exf6 gxf6 34.Be3 e5 35.Bf2 Rxb3 36.Qe2 Rg8 37.Qe4 Rxd3 38.Qxd3 Qe6 39.Kh1 f5 40.Rb1 Ke8 41.Rb7 e4 42.fxe4 fxe4 43.Qe2 Qf5 44.Rb5 e3 45.Be1 Rf8 46.Rb8+ Kd7 47.Rxf8 Bxf8 48.Bxh4 Bh6 49.Qb2 Qf1+ 50.Kh2 Bf4+ 51.Bg3 Bxg3+ 52.Kxg3 Qxc4 53.Qb7+ Kd6 54.Qb8+ Ke7 55.Qc7+ Kf6 56.Qf4+ Kg7 57.Qe5+ Kf8 58.Qd6+ Kg8 59.Qd8+ Kg7 60.Qg5+ Kf7 61.Qf5+ Ke7 62.Qe5+ Kd7 63.Qg7+ Kc6 64.Qg6+ Kb5 65.Qb1+ Qb4 66.Qd3+ Ka5 67.Kf3 Qb2 68.Qc4 Qf2+ 69.Ke4 Qxg2+ 70.Ke5 Qg3+ 71.Ke4 Qg6+ 72.Ke5 Qg7+ 73.Ke4 Qe7+ 74.Kd3 Qh7+ 75.Ke2 Qh5+ 76.Kd3 Qf5+ 77.Ke2 Qf2+ 78.Kd1 Qd2# 0-1
