[Event "2nd Arpad-hazi Jolan Open"]
[Site "Esztergom, Hungary"]
[Date "2026.07.11"]
[Round "6.23"]
[White "Saar, Patrik"]
[Black "Jokai, Bence"]
[Result "1/2-1/2"]
[WhiteElo "2069"]
[BlackElo "2003"]
[ECO "B52"]
[TimeControl "90 minutes with 30 second increment from move 1"]
[Variant "Standard"]
[Opening "Sicilian Defense: Moscow Variation, Main Line"]

1.e4 c5 2.Nf3 d6 3.Bb5+ Bd7 4.Bxd7+ Qxd7 5.O-O Nc6 6.c3 Nf6 7.Re1 e6 8.d4 cxd4 9.cxd4 Be7 10.d5 exd5 11.exd5 Nb8 12.Nc3 O-O 13.Bg5 Na6 14.Qd4 h6 15.Bh4 Rfe8 16.Re2 Nh7 17.Bxe7 Rxe7 18.Rae1 Rxe2 19.Rxe2 Nf6 20.Nd2 Nc7 21.Nde4 Nxe4 22.Rxe4 Re8 23.h3 Rxe4 24.Qxe4 Qe8 25.Kf1 Qxe4 26.Nxe4 Nxd5 27.Nxd6 b6 28.Ke2 Kf8 29.Kf3 Nb4 30.Nc8 Nc6 31.Ke4 Ke8 32.Nd6+ Ke7 33.Nf5+ Kf6 34.Nd4 Nxd4 35.Kxd4 Ke6 36.Kc4 a6 37.Kd4 Kd6 38.f4 Ke6 39.g4 g6 40.h4 f5 41.g5 h5 42.a3 Kd6 43.a4 Ke6 44.a5 bxa5 45.Kc5 a4 46.Kc6 Ke7 47.Kc7 Ke6 48.Kc6 Ke7 49.Kc7 Ke6 50.Kc6 1/2-1/2
