[Event "Rapid C18"]
[Site "Rzeszow"]
[Date "2026.07.12"]
[Round "11.10"]
[White "Stachniak, Stanislaw"]
[Black "Krawczyk, Flawian"]
[Result "0-1"]
[WhiteElo "2102"]
[BlackElo "2226"]
[ECO "B30"]
[Variant "Standard"]
[Opening "Sicilian Defense: Portsmouth Gambit"]

1.e4 c5 2.Nf3 Nc6 3.b4 cxb4 4.d4 d5 5.exd5 Qxd5 6.c4 bxc3 7.Nxc3 Qa5 8.d5 e6 9.Qd2 exd5 10.Nxd5 Qxd2+ 11.Nxd2 Kd8 12.Bb2 Be6 13.Nf4 Nf6 14.Nxe6+ fxe6 15.O-O-O Kc7 16.Bc4 Bc5 17.Bxe6 Bxf2 18.Nc4 Rad8 19.Rxd8 Rxd8 20.Bf5 Bd4 21.Rd1 b5 22.Nd2 Bxb2+ 23.Kxb2 Kb6 24.Kc1 Rd5 25.Bc2 a5 26.Nf3 Rxd1+ 27.Kxd1 a4 28.Kd2 h6 29.Nh4 Ne7 30.h3 Kc5 31.Nf3 Nfd5 32.g4 Nc6 33.g5 Nd4 34.Ne5 hxg5 35.Nf7 Nxc2 36.Kxc2 g4 37.hxg4 Ne3+ 38.Kd3 Nxg4 39.Ng5 Kb4 40.Kc2 Ne3+ 41.Kb1 g6 42.Ne6 Kc4 43.Kb2 Nd1+ 44.Kc1 Nc3 45.Kb2 Ne4 46.Kc2 g5 47.Kb2 g4 48.Kc2 Nc3 49.a3 Nd5 50.Ng5 g3 51.Nf3 g2 52.Ng1 Nf4 53.Kb2 Kd4 0-1
