[Event "2nd Arpad-hazi Jolan Open"]
[Site "Esztergom, Hungary"]
[Date "2026.07.12"]
[Round "7.10"]
[White "Englert, Luca"]
[Black "Meszaros-Csonka, David"]
[Result "1-0"]
[WhiteElo "2291"]
[BlackElo "2180"]
[ECO "B51"]
[TimeControl "90 minutes with 30 second increment from move 1"]
[Variant "Standard"]
[Opening "Sicilian Defense: Moscow Variation"]

1.e4 c5 2.Nf3 d6 3.Bb5+ Nd7 4.Ba4 Nf6 5.O-O e6 6.c4 Nxe4 7.Re1 Nf6 8.d4 cxd4 9.Nxd4 Be7 10.Rxe6 fxe6 11.Nxe6 Qa5 12.c5 b5 13.Bxb5 Kf7 14.Ng5+ Kf8 15.Ne6+ Kf7 16.Ng5+ Kf8 17.Ne6+ Kg8 18.cxd6 Qxb5 19.Nc7 Qc4 20.Na3 Qf7 21.Nxa8 Bf8 22.Bf4 Bb7 23.Nc7 h6 24.Qb3 Nc5 25.Qxf7+ Kxf7 26.Nc4 Nfd7 27.Be3 g6 28.Re1 Ne4 29.Rd1 Bg7 30.f3 Nef6 31.Bxa7 Rc8 32.b3 Bf8 33.Bd4 Ne8 34.Bb6 Nxc7 35.Bxc7 Bg7 36.Nb6 Rxc7 37.dxc7 Nxb6 38.a4 Be5 39.a5 Na8 40.c8=Q Bxc8 41.Rd8 Be6 42.Rxa8 Bxb3 43.g3 Bd5 44.Ra7+ Kf6 45.Kg2 g5 46.Ra6+ Kg7 47.h3 h5 48.g4 hxg4 49.hxg4 Kf7 50.Rb6 Bf4 51.a6 Be3 52.Rd6 Ba8 53.a7 Ke7 54.Rh6 Bd5 55.Rh7+ Ke6 56.Kf1 Bc5 57.Kg2 Be3 58.Kg3 Kd6 59.Rg7 Ke6 60.Rg8 Bxa7 61.Rxg5 Bb8+ 62.f4 Bc4 63.Rg6+ Ke7 64.Rb6 Bd6 65.Rb7+ Ke6 66.Rh7 Bd3 67.Rh6+ Ke7 68.g5 Be2 69.Rh2 Bd1 70.Rh1 Bc2 71.Kg4 Kf7 72.f5 Kg7 73.Ra1 Bb3 74.Ra7+ Kg8 75.g6 Bc5 76.Rd7 Bc2 77.f6 Bb6 78.Rb7 Bd1+ 79.Kf4 1-0
