[Event "Blitz Boys 10"]
[Site "Rzeszow"]
[Date "2026.07.09"]
[Round "9.3"]
[White "Savchuk, Oleksandr"]
[Black "Kucher, Artem"]
[Result "0-1"]
[WhiteElo "2182"]
[BlackElo "2068"]
[ECO "B51"]
[TimeControl "3+2"]
[Variant "Standard"]
[Opening "Sicilian Defense: Moscow Variation"]

1.e4 c5 2.Nf3 d6 3.Bb5+ Nd7 4.c4 Nf6 5.Nc3 a6 6.Ba4 e6 7.O-O Qc7 8.Bc2 Be7 9.b3 O-O 10.Bb2 Ne5 11.h3 Rd8 12.Qe2 Nc6 13.Rad1 Nd4 14.Nxd4 cxd4 15.Nb1 e5 16.d3 b5 17.Nd2 bxc4 18.dxc4 Bb7 19.Kh1 Rac8 20.Bd3 Qc6 21.f4 Nd7 22.Rde1 Bh4 23.Rd1 Nc5 24.Bb1 Bg3 25.f5 f6 26.Qg4 Bf4 27.Bxd4 Bxd2 28.Bxc5 dxc5 29.Qe2 Bh6 30.Rd5 Rxd5 31.cxd5 Qb6 32.Bd3 Rd8 33.Bc4 Kf8 34.Qc2 a5 35.Rd1 Be3 36.Qe2 Bh6 37.Qc2 Rd6 38.a4 Ke7 39.Re1 Kd7 40.Bb5+ Ke7 41.Bc4 Rd8 42.Rd1 Kd6 43.Rd3 Ba6 44.Kh2 Bxc4 45.Qxc4 Rc8 46.Kh1 Bf4 47.Rd1 Be3 48.Rb1 Bd4 49.Kh2 Ra8 50.Qe2 Qd8 51.Qb5 Qc7 52.Qe2 g6 53.Qg4 g5 54.Qh5 Qg7 55.Qg4 Qf7 56.Qe2 h6 57.Qb5 Qc7 58.Qe2 Qf7 59.Qb5 Qd7 60.Qe2 Kc7 61.Qh5 Qg7 62.Qg4 Kd6 63.Qe2 g4 64.Qb5 Qc7 65.hxg4 Be3 66.g3 Bd4 67.Kg2 Ra7 68.Kh3 Rb7 69.Qa6+ Qb6 70.Qc4 h5 71.gxh5 Rh7 72.Qe2 Qb7 73.Qg4 Qf7 74.Kg2 Rxh5 75.Qe2 Rh8 76.Qa6+ Ke7 77.Qb7+ Kf8 78.Qc8+ Kg7 79.Qc6 Rd8 80.Qb6 Rh8 81.Qc6 Rf8 82.Rh1 Rb8 83.Rb1 Rh8 84.Qb6 Qh5 85.Qc7+ Kg8 86.Qd8+ Kg7 87.Qe7+ Qf7 88.Qd6 Be3 89.Qc6 Rh7 90.Re1 Bd4 91.Rb1 Qh5 92.Qd7+ Kh8 93.Qd8+ Kg7 94.Qe7+ Kg8 95.Qd8+ Kf7 96.Qd7+ Kg8 97.Qd8+ Kg7 98.Qe7+ Qf7 99.Qd6 Qb7 100.Qe6 Rh8 101.Kf3 Rh2 102.d6 Qf7 103.g4 Rf2+ 104.Kg3 Rd2 105.d7 Be3 106.Rh1 Bf4+ 107.Kf3 Rxd7 108.Qc6 Rd3+ 109.Kf2 Rd2+ 110.Kf1 Rd1+ 111.Kg2 Rxh1 112.Kxh1 Qxb3 113.Qd7+ Kh6 114.Qe8 Qh3+ 115.Kg1 Be3# 0-1
