[Event "Magyar Noi Bajnokság 2026"]
[Site "Budapest, Hungary"]
[Date "2026.07.11"]
[Round "8.5"]
[White "Kiss, Inez"]
[Black "Toth, Lili"]
[Result "1/2-1/2"]
[WhiteElo "2078"]
[BlackElo "2118"]
[ECO "B51"]
[TimeControl "90min/40moves+30min+30sec/move"]
[Variant "Standard"]
[Opening "Sicilian Defense: Moscow Variation"]

1.e4 c5 2.Nf3 d6 3.Bb5+ Nc6 4.O-O Bd7 5.Re1 a6 6.Bf1 e5 7.c3 Be7 8.d4 g5 9.dxc5 dxc5 10.Bc4 g4 11.Nfd2 b5 12.Bd5 h5 13.Nf1 Nh6 14.Be3 Kf8 15.Ng3 h4 16.Qd2 Ng8 17.Nf5 Rc8 18.Rd1 Bxf5 19.exf5 Qd7 20.Be4 Qxd2 21.Nxd2 Nf6 22.f3 g3 23.hxg3 hxg3 24.Nf1 Rg8 25.Rd2 Nxe4 26.fxe4 Rg4 27.Re1 f6 28.Rd5 c4 29.Bc5 Kf7 30.Re3 Rcg8 31.Bxe7 Kxe7 32.a4 Na7 33.Rc5 Kd6 34.Rd5+ Kc6 35.axb5+ axb5 36.Rd1 Nc8 37.Re2 Nd6 38.Rde1 Rh8 39.Re3 Rhg8 40.R3e2 Nb7 41.Re3 Nc5 42.R1e2 R8g7 43.Re1 Nd3 44.R1e2 Nc5 45.Re1 Rg8 46.R1e2 Kb6 47.Re1 R4g7 48.Rf3 Rg4 49.Rfe3 Kc6 50.R1e2 Kb6 51.Re1 R8g7 52.R1e2 Ka5 53.Re1 Nd3 54.b4+ Ka4 55.Rb1 Ka3 56.Re2 Rh7 57.Rc2 Rxe4 58.Nxg3 Re1+ 59.Rxe1 Nxe1 60.Re2 Nd3 61.Ne4 Kb3 62.Nxf6 Rf7 63.Ne4 Rxf5 64.Nd6 Rh5 65.Nxb5 e4 66.Nd6 Kxc3 67.Rxe4 Kxb4 68.Rxc4+ Kb3 69.Rd4 Kc3 70.Rc4+ Kd2 71.g4 Rh6 72.Nf5 Rg6 73.Kg2 Ne5 74.Rd4+ Kc3 75.Kg3 Rxg4+ 76.Rxg4 Nxg4 77.Kxg4 1/2-1/2
