[Event "2nd Arpad-hazi Jolan Open"]
[Site "Esztergom, Hungary"]
[Date "2026.07.10"]
[Round "4.21"]
[White "Kossela, Peter"]
[Black "Apro, Barnabas"]
[Result "0-1"]
[WhiteElo "2054"]
[BlackElo "2168"]
[ECO "B32"]
[TimeControl "90 minutes with 30 second increment from move 1"]
[Variant "Standard"]
[Opening "Sicilian Defense: Godiva Variation"]

1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Qb6 5.Nb3 g6 6.Be3 Qb4+ 7.N1d2 Bg7 8.c3 Qd6 9.f4 Qc7 10.Be2 Nf6 11.O-O d6 12.Nd4 O-O 13.Kh1 a6 14.Rc1 Bd7 15.Qc2 Rac8 16.Nxc6 Bxc6 17.Bf3 b5 18.Nb3 Bb7 19.Qd3 Nd7 20.Rcd1 Nb6 21.Bd4 Nc4 22.Bxg7 Kxg7 23.Rf2 a5 24.Nd4 Qc5 25.Re2 Rfd8 26.h4 a4 27.f5 a3 28.Nb3 Qe5 29.bxa3 Qg3 30.Qd4+ Ne5 31.h5 Rc4 32.Qe3 g5 33.Na5 Rc7 34.Nxb7 Rxb7 35.Qf2 Qf4 36.Rf1 g4 37.Qh4 h6 38.Rb2 f6 39.a4 Qe3 40.Be2 Qxc3 41.Rxb5 Rxb5 42.axb5 Qe3 43.Re1 Qxe4 44.b6 Qb4 45.Bxg4 Nxg4 46.Rxe7+ Kf8 47.Re6 Qd4 48.Qe1 Qxb6 49.Re7 Qf2 50.a4 Qxe1+ 51.Rxe1 Ne5 52.a5 Ra8 53.Ra1 Ra6 54.Kh2 Nc4 55.Rc1 d5 56.Rb1 Rxa5 57.Rb8+ Ke7 58.Rb7+ Kd6 59.Rh7 Ne5 60.Kg3 d4 61.Rxh6 Ke7 62.Kf4 d3 63.Rh7+ Nf7 64.Ke3 Rd5 65.Kd2 Kf8 66.h6 Rxf5 67.Rg7 Nxh6 68.Rh7 Nf7 69.Kxd3 Rg5 70.Rh2 Kg7 71.Ke4 Kg6 72.Kf3 Ra5 73.Rh4 Ra3+ 74.Kf2 Kg5 75.Rb4 Ne5 76.Kg1 Ra1+ 77.Kh2 Ng4+ 78.Kh3 f5 79.Rb5 Ra3+ 80.g3 Nf2+ 81.Kg2 Ne4 82.Rb8 Rxg3+ 83.Kh2 Ra3 84.Rb2 Rd3 85.Kh1 Rd1+ 0-1
