[Event "2nd Arpad-hazi Jolan Open"]
[Site "Esztergom, Hungary"]
[Date "2026.07.10"]
[Round "4.13"]
[White "Onodi, Tamas"]
[Black "Borocz, Lorinc"]
[Result "0-1"]
[WhiteElo "2043"]
[BlackElo "2167"]
[ECO "B22"]
[TimeControl "90 minutes with 30 second increment from move 1"]
[Variant "Standard"]
[Opening "Sicilian Defense: Alapin Variation, Smith-Morra Declined"]

1.e4 c5 2.c3 Nf6 3.e5 Nd5 4.d4 cxd4 5.Nf3 d6 6.cxd4 Nc6 7.Bc4 dxe5 8.dxe5 Ndb4 9.a3 Qxd1+ 10.Kxd1 Na6 11.h3 Nc7 12.Nc3 Be6 13.Bb5 O-O-O+ 14.Ke1 Nxb5 15.Nxb5 Bd5 16.Be3 a6 17.Na7+ Kb8 18.Nxc6+ bxc6 19.Rc1 Kb7 20.Ke2 g6 21.Bc5 Rd7 22.Rhe1 Bh6 23.Rc3 Rhd8 24.Kf1 Be6 25.Re4 a5 26.Ra4 Rd1+ 27.Ke2 Rb1 28.Rxa5 Rxb2+ 29.Ke1 Rb1+ 30.Ke2 Rb2+ 31.Ke1 Bb3 32.Rxb3+ Rxb3 33.Nd4 Rb1+ 34.Ke2 Ra8 35.Rxa8 Kxa8 36.Bxe7 Rb2+ 37.Kf3 Kb7 38.e6 fxe6 39.Nxe6 Ra2 40.g4 Kc8 41.Nf8 Bxf8 42.Bxf8 Kd7 43.Ke3 Rb2 44.f3 Rh2 45.Kd4 0-1
