[Event "2nd Arpad-hazi Jolan Open"]
[Site "Esztergom, Hungary"]
[Date "2026.07.12"]
[Round "7.23"]
[White "Jokai, Bence"]
[Black "Sochorova, Petra"]
[Result "1/2-1/2"]
[WhiteElo "2003"]
[BlackElo "2067"]
[ECO "B41"]
[TimeControl "90 minutes with 30 second increment from move 1"]
[Variant "Standard"]
[Opening "Sicilian Defense: Kan Variation, Maróczy Bind, Réti Variation"]

1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.c4 Nf6 6.Nc3 Bb4 7.Qd3 d5 8.exd5 exd5 9.Be2 O-O 10.O-O Nc6 11.Nxc6 bxc6 12.Bg5 Be7 13.cxd5 cxd5 14.Bxf6 Bxf6 15.Qxd5 Qxd5 16.Nxd5 Bxb2 17.Rab1 Ba3 18.Nb6 Ra7 19.Nxc8 Rxc8 20.Rb3 1/2-1/2
