[Event "Blitz Boys 10"]
[Site "Rzeszow"]
[Date "2026.07.09"]
[Round "15.2"]
[White "Savchuk, Oleksandr"]
[Black "Petrenko, Tymofii"]
[Result "1/2-1/2"]
[WhiteElo "2182"]
[BlackElo "2145"]
[ECO "B76"]
[TimeControl "3+2"]
[Variant "Standard"]
[Opening "Sicilian Defense: Dragon Variation, Yugoslav Attack, Panov Variation"]

1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3 O-O 8.Qd2 Nc6 9.g4 Nxd4 10.Bxd4 Be6 11.h4 Qa5 12.h5 Rfc8 13.h6 Bh8 14.g5 Nd7 15.Bxh8 Kxh8 16.f4 Bg4 17.Bh3 Bxh3 18.Rxh3 Kg8 19.O-O-O Rc6 20.Kb1 Rac8 21.Qd4 e5 22.Qd2 Qb4 23.Nd5 Qxd2 24.Rxd2 exf4 25.Ne7+ Kf8 26.Nxc8 Rxc8 27.Rf3 Ke7 28.Rxf4 Ne5 29.Rf6 Rc6 30.b3 Ng4 31.Rf4 Ne5 32.Kb2 Rb6 33.Kc1 Ra6 34.a4 Rc6 35.Kb2 Rb6 36.Ka2 Rc6 37.c4 Rc5 38.Rdf2 a5 39.Rf6 Rc6 40.Kb1 Rb6 41.Kc2 Rc6 42.Kc3 b6 43.R6f4 Rc7 44.Rd2 Rc6 45.Rd5 Rc7 46.Rb5 Rc6 47.Rf6 Nd7 48.Rf4 Ne5 49.Rd5 Rc8 50.Rd2 Rc6 51.Rdf2 Rc7 52.Kd4 Nc6+ 53.Kc3 Ne5 54.Kd2 Rc5 55.Rf6 Rc7 56.R6f4 Rc5 57.Rf1 Rc7 58.Rb1 Nc6 59.Rbf1 Ne5 60.Ke3 Rc8 61.Rf6 Ng4+ 62.Kd4 Nxf6 63.gxf6+ 1/2-1/2
