[Event "9 round swiss"]
[Site "https://lichess.org/broadcast/bro-x-cxu-international-2026/round-4/qMVgFMZc/kClvRCXA"]
[Date "2026.07.22"]
[Round "4.16"]
[White "Eriksson, Christian Altenburg"]
[Black "Ramsdal, Jens Albert"]
[Result "0-1"]
[WhiteElo "2177"]
[BlackElo "2328"]
[ECO "B22"]
[Variant "Standard"]
[Opening "Sicilian Defense: Alapin Variation"]

1.e4 c5 2.c3 Nf6 3.e5 Nd5 4.Nf3 d6 5.Bc4 e6 6.d4 Nb6 7.Bb3 dxe5 8.Nxe5 Nc6 9.Qf3 Qf6 10.Qxf6 gxf6 11.Nxc6 bxc6 12.dxc5 Bxc5 13.Nd2 f5 14.Nf3 Ba6 15.Ne5 Rg8 16.g3 Rd8 17.Be3 Bd6 18.Nxc6 Rd7 19.Nxa7 Nc4 20.O-O-O Nxe3 21.fxe3 Rg4 22.Rhe1 Bxg3 23.hxg3 Rxa7 24.Rg1 Bb7 25.a3 h5 26.Rd4 Be4 27.Bd1 Rg5 28.Bc2 e5 29.Rdd1 f6 30.Bxe4 fxe4 31.Rh1 Kf7 32.Rd8 Rxg3 33.Rxh5 Ke6 34.Re8+ Kd5 35.Rf5 Rg1+ 36.Kc2 Rg2+ 37.Kc1 Rh7 38.Rd8+ Kc4 39.Kb1 Rb7 40.Rxf6 Rgxb2+ 0-1
