[Event "Junior A"]
[Site "Kristiansund, Norway"]
[Date "2026.07.07"]
[Round "5.7"]
[White "Arvola, Daniel"]
[Black "Sian, Shadi"]
[Result "0-1"]
[WhiteElo "2204"]
[BlackElo "2268"]
[ECO "B91"]
[Variant "Standard"]
[Opening "Sicilian Defense: Najdorf Variation, Zagreb Variation"]

1.e4 c5 2.Nf3 d6 3.Nc3 Nf6 4.d4 cxd4 5.Nxd4 a6 6.g3 e5 7.Nb3 Be6 8.Bg2 Nbd7 9.Bg5 Be7 10.Bxf6 Nxf6 11.O-O Rc8 12.Nd5 Nxd5 13.exd5 Bd7 14.a4 O-O 15.a5 Bf5 16.c3 Qd7 17.Re1 Bg6 18.Nd2 f5 19.Qa4 Qc7 20.Qb4 Bg5 21.Nb3 f4 22.h4 fxg3 23.fxg3 Bh6 24.Qg4 Bc2 25.Ra3 b5 26.Be4 Qa7+ 27.Kh1 Qf2 28.Rg1 Bxe4+ 29.Qxe4 Qxb2 0-1
