[Event "Rapid C18"]
[Site "Rzeszow"]
[Date "2026.07.12"]
[Round "11.4"]
[White "Grot, Blazej"]
[Black "Sniadecki, Oskar"]
[Result "1/2-1/2"]
[WhiteElo "2362"]
[BlackElo "2214"]
[ECO "B30"]
[Variant "Standard"]
[Opening "Sicilian Defense: Nyezhmetdinov-Rossolimo Attack"]

1.e4 c5 2.Nf3 Nc6 3.Bb5 e6 4.O-O Nge7 5.Re1 a6 6.Bf1 d5 7.exd5 Nxd5 8.d4 cxd4 9.Nxd4 Be7 10.Nxc6 bxc6 11.c4 Nb4 12.Qe2 c5 13.Rd1 Qc7 14.Nc3 Bb7 15.a3 Nc6 16.Qg4 O-O 17.Bf4 Qc8 18.Qg3 Nd4 19.Bd3 Bf6 20.Re1 Rd8 21.Be5 Bxe5 22.Rxe5 Nf3+ 23.gxf3 Rxd3 24.Re3 Rxe3 25.fxe3 Qc6 26.Kf2 Rd8 27.Rd1 Rxd1 28.Qb8+ Bc8 29.Nxd1 f5 30.Nc3 Kf7 31.e4 Bb7 32.Qe5 g6 33.Qh8 h5 34.Qh7+ Kf6 35.Ke3 f4+ 36.Kd2 Qd6+ 37.Kc2 Bc6 38.Ne2 Ba4+ 39.Kc3 Qe5+ 40.Kd2 Qxb2+ 41.Ke1 e5 42.Qh8+ Kf7 43.Qh7+ 1/2-1/2
