[Event "Mester"]
[Site "Kristiansund, Norway"]
[Date "2026.07.11"]
[Round "9.6"]
[White "Skramstad, Oda Kofoed"]
[Black "Haugen, Lars Tormod"]
[Result "1/2-1/2"]
[WhiteElo "2022"]
[BlackElo "2031"]
[ECO "E90"]
[Variant "Standard"]
[Opening "King's Indian Defense: Normal Variation, Rare Defenses"]

1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 Bg4 6.Be2 Bxf3 7.Bxf3 e5 8.d5 h5 9.g3 Nbd7 10.Bg2 Bh6 11.f4 exf4 12.gxf4 Ng4 13.Qf3 Qh4+ 14.Qg3 Qxg3+ 15.hxg3 Bg7 16.Bd2 Nc5 17.Ke2 a5 18.Nb5 Kd7 19.Bc3 Bxc3 20.Nxc3 Rhe8 21.Rae1 Nxe4 22.Bxe4 f5 23.Kf3 fxe4+ 24.Rxe4 Rxe4 25.Nxe4 Rf8 26.b3 a4 27.Ng5 axb3 28.axb3 Ra8 29.Ne6 c6 30.Rc1 Ke7 31.Re1 Kd7 32.Rc1 Ke7 33.Re1 Kd7 34.Rc1 1/2-1/2
