[Event "Kandidat"]
[Site "Kristiansund, Norway"]
[Date "2026.07.09"]
[Round "7.8"]
[White "Amundsen, Ask"]
[Black "Verbin, Valentina"]
[Result "0-1"]
[WhiteElo "2237"]
[BlackElo "2110"]
[ECO "A46"]
[Variant "Standard"]
[Opening "Indian Defense: Wade-Tartakower Defense"]

1.Nf3 d6 2.d4 Nf6 3.g3 g6 4.Bg2 Bg7 5.O-O O-O 6.b3 a5 7.Bb2 a4 8.b4 d5 9.a3 Nfd7 10.Nbd2 c5 11.bxc5 Nxc5 12.Rb1 Ne4 13.c4 Bf5 14.cxd5 Nxd2 15.Nxd2 Bxb1 16.Qxb1 Qb6 17.Nc4 Qb5 18.Qd3 Rc8 19.Rc1 Nd7 20.Bh3 f5 21.d6 exd6 22.e4 Nb6 23.exf5 Rxc4 24.Bc3 Rc5 25.Qe4 Re8 26.Qxb7 Bxd4 27.fxg6 hxg6 28.Bf1 Qc6 29.Qa7 Rxc3 30.Rd1 Qc5 31.Bg2 Rc1 32.Rf1 Bxf2+ 33.Kh1 Rxf1+ 0-1
