[Event "Rapid C18"]
[Site "Rzeszow"]
[Date "2026.07.12"]
[Round "11.7"]
[White "Borischik, Sergey"]
[Black "Dobosiewicz, Dawid"]
[Result "1/2-1/2"]
[WhiteElo "2271"]
[BlackElo "2299"]
[ECO "A07"]
[Variant "Standard"]
[Opening "King's Indian Attack"]

1.Nf3 d5 2.g3 Nc6 3.d4 Bf5 4.Bg2 e6 5.O-O Nb4 6.Na3 Nc6 7.Nb1 Nb4 8.Ne1 Be7 9.c3 Nc6 10.Nd3 Nf6 11.Nd2 O-O 12.b4 Re8 13.f3 Bg6 14.Bb2 a5 15.b5 Na7 16.a4 c6 17.bxc6 bxc6 18.Ne5 c5 19.e3 cxd4 20.cxd4 Rb8 21.Ba3 Bxa3 22.Rxa3 Qd6 23.Qa1 Nc6 24.Nxc6 Qxc6 25.Rc1 Qd6 26.Bf1 h5 27.Bb5 Rec8 28.Rac3 Rxc3 29.Qxc3 Qd8 30.Nb3 Ra8 31.Qc7 Qf8 32.Qc5 Qd8 33.Kf2 h4 34.Qc7 Qf8 35.Nc5 h3 36.g4 Rc8 37.Qg3 Qe7 38.Qxh3 Ne8 39.Bxe8 Qxe8 40.Qg3 Rb8 41.Qd6 Rd8 42.Qc7 Rc8 43.Qd6 Rc6 44.Qf4 f6 45.Rc3 e5 46.Qg3 Rb6 47.Qg1 Rb1 48.Rc1 Rb2+ 49.Kg3 exd4 50.exd4 Qb8+ 51.Kh3 Qf4 52.Rc3 Qd2 53.Re3 Rb1 54.Re8+ Kh7 55.Qe3 Qd1 56.Re7 Rb2 57.Kg3 Qf1 58.Rxg7+ Kxg7 59.Qe7+ Kg8 60.Qd8+ Kh7 61.Qe7+ 1/2-1/2
