[Event "Rapid C18"]
[Site "Rzeszow"]
[Date "2026.07.12"]
[Round "10.10"]
[White "Ugorek, Kacper"]
[Black "Krasniewski, Maciej"]
[Result "0-1"]
[WhiteElo "2383"]
[BlackElo "2095"]
[ECO "E92"]
[Variant "Standard"]
[Opening "King's Indian Defense: Orthodox Variation, Gligoric-Taimanov System"]

1.c4 Nf6 2.Nc3 g6 3.e4 d6 4.d4 Bg7 5.Nf3 O-O 6.Be2 e5 7.Be3 Na6 8.d5 Ng4 9.Bg5 f6 10.Bh4 h5 11.Nd2 Nh6 12.f3 c5 13.a3 g5 14.Bf2 f5 15.Qc2 f4 16.h3 Nc7 17.b4 b6 18.Bd3 Bd7 19.Ke2 g4 20.hxg4 hxg4 21.Rab1 g3 22.Be1 Qf6 23.Nb3 Kf7 24.Bd2 Kg6 25.bxc5 dxc5 26.d6 Qxd6 27.Nd5 Ne6 28.Bc3 Nf7 29.Rh4 Nfg5 30.Rbh1 Rh8 31.Qb2 Rxh4 32.Rxh4 Rh8 33.Rxh8 Bxh8 34.Qa1 Bg7 35.a4 a5 36.Kd2 Kf7 37.Nc1 Bc6 38.Bc2 Nd4 39.Nd3 Ndxf3+ 40.gxf3 g2 41.Ke2 Nh3 42.Nxe5+ Bxe5 43.Bxe5 g1=Q 44.Bd1 Bxd5 0-1
