[Event "Landsturneringen 2026"]
[Site "Kristiansund, Norway"]
[Date "2026.07.03"]
[Round "1.8"]
[White "Lund, Gunnar"]
[Black "Lie, Kjetil A."]
[Result "1/2-1/2"]
[WhiteElo "2346"]
[BlackElo "2459"]
[ECO "E92"]
[Variant "Standard"]
[Opening "King's Indian Defense: Orthodox Variation, Gligoric-Taimanov System"]

1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2 e5 7.Be3 exd4 8.Nxd4 Re8 9.f3 c6 10.Nc2 d5 11.cxd5 cxd5 12.exd5 Bf5 13.Bd4 Bxc2 14.Qxc2 Nxd5 15.Bxg7 Kxg7 16.Nxd5 Qxd5 17.O-O Qe5 18.Rfe1 Nc6 19.Bf1 Qa5 20.Rxe8 Rxe8 21.a3 Rd8 22.b4 Qe5 23.Ra2 Nd4 24.Qf2 a6 25.Kh1 Nf5 26.f4 Qc3 27.Be2 Rd2 28.Qe1 Rc2 29.Qxc3+ Rxc3 30.Kg1 Nd4 31.Kf2 h5 32.Bd1 h4 33.g3 hxg3+ 34.hxg3 Rd3 35.Bg4 f5 36.Be2 Nxe2 37.Rxe2 Rxa3 38.Re7+ Kh6 39.Rxb7 a5 1/2-1/2
