[Event "Rapid C18"]
[Site "Rzeszow"]
[Date "2026.07.12"]
[Round "10.3"]
[White "Radzimski, Antoni"]
[Black "Grot, Blazej"]
[Result "1/2-1/2"]
[WhiteElo "2336"]
[BlackElo "2362"]
[ECO "E49"]
[Variant "Standard"]
[Opening "Nimzo-Indian Defense: Normal Variation, Botvinnik System"]

1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Bd3 d5 6.a3 Bxc3+ 7.bxc3 dxc4 8.Bxc4 c5 9.Ne2 Nc6 10.O-O e5 11.Bb2 Na5 12.Ba2 Be6 13.dxe5 Qxd1 14.Rfxd1 Ng4 15.c4 Bxc4 16.Bxc4 Nxc4 17.Bc3 Rfd8 18.Rdc1 b6 19.e6 fxe6 20.Bxg7 Ncxe3 21.Bc3 Nd5 22.Bb2 Rac8 23.Rc4 Ngf6 24.Rac1 Kf7 25.g3 Rg8 26.Nd4 Ke7 27.h3 Nd7 28.Nb3 Rcf8 29.Rh4 Rf7 30.a4 Kd6 31.Nd2 Kc6 32.Re4 Rg6 33.h4 Rf4 34.h5 Rgg4 35.Rxe6+ Kc7 36.a5 Rb4 37.axb6+ axb6 38.Rc2 Nf4 39.Rh6 Nd3 40.Bc3 Rbf4 41.Nf1 Rf7 42.Ne3 Rg5 43.Rd2 Nf4 44.g4 Nh3+ 45.Kg2 Nf4+ 46.Kf1 Ne5 47.Bxe5+ Rxe5 48.Ra2 Kb7 49.Nc4 Rd5 50.Rxb6+ Kc7 51.Rb1 Rfd7 52.Ra7+ Kd8 53.Ra8+ Ke7 54.Ne3 Rd2 55.Re1 Kf7 56.Nc4 Kf6 57.Nxd2 Rxd2 58.Rea1 Kg5 59.Rg8+ Kh4 60.h6 Nd3 61.Rf8 c4 62.Ra4 c3 63.Rf5 Nxf2 64.Rxf2 c2 65.Rc4 Rd1+ 66.Kg2 c1=Q 67.Rxc1 Rxc1 68.Rf7 Kxg4 69.Rxh7 Rc2+ 70.Kf1 Kg5 71.Rd7 1/2-1/2
