[Event "Rapid C16"]
[Site "Rzeszow"]
[Date "2026.07.12"]
[Round "8.6"]
[White "Uhryn, Lukasz"]
[Black "Lechowski, Witold"]
[Result "1/2-1/2"]
[WhiteElo "2036"]
[BlackElo "2162"]
[ECO "A05"]
[Variant "Standard"]
[Opening "King's Indian Attack: Wahls Defense"]

1.Nf3 Nf6 2.g3 g6 3.Bg2 Bg7 4.O-O O-O 5.d3 d5 6.Nbd2 c5 7.c3 Nc6 8.e4 e5 9.Re1 Re8 10.Qc2 b6 11.a4 Bb7 12.h3 Qc7 13.Kh2 Rad8 14.b3 Qc8 15.Ba3 Ba6 16.b4 cxb4 17.cxb4 Bxd3 18.Qxd3 dxe4 19.Qb3 exf3 20.Nxf3 Qf5 21.Rac1 Rd3 22.Rc3 Rxc3 23.Qxc3 Nd4 24.Nxd4 exd4 25.Rxe8+ Nxe8 26.Qc6 Qe6 27.Qa8 d3 28.Bc6 d2 29.Bxe8 Bf8 30.b5 d1=Q 31.Bd7 Qed6 32.Bxd6 Qxd6 33.Bg4 Qd4 34.Qf3 Qxa4 35.Bd7 Qc4 36.Bc6 Kg7 37.Kg2 Qc5 38.Bd5 Qc7 39.Bc6 Bd6 40.Qd5 Bc5 41.Qf3 Qe7 42.Qc3+ Kg8 43.Qf3 Bd4 44.Qe4 Qf6 45.Qf3 Qd6 46.Qd5 Qf6 47.Qf3 Kf8 48.Qxf6 Bxf6 49.f4 Bd4 50.Kf3 Ke7 51.Be4 Kd6 52.Bd3 f6 53.Ke4 f5+ 54.Kf3 Bc3 55.g4 1/2-1/2
