[Event "rzeszow"]
[Site "Rzeszow"]
[Date "2026.07.07"]
[Round "4.5"]
[White "Kovacik, Oliver"]
[Black "Chiszko, Oskar"]
[Result "0-1"]
[WhiteElo "2039"]
[BlackElo "2214"]
[ECO "E20"]
[TimeControl "15+10"]
[Variant "Standard"]
[Opening "Nimzo-Indian Defense: Kmoch Variation"]

1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.f3 d5 5.a3 Bxc3+ 6.bxc3 O-O 7.cxd5 exd5 8.e3 b6 9.Bd3 c5 10.Ne2 Ba6 11.O-O Re8 12.Ng3 Bxd3 13.Qxd3 Nc6 14.Bb2 h5 15.Rae1 g6 16.e4 h4 17.Nh1 Nh5 18.Qd2 Na5 19.Qc1 Nc4 20.Ba1 Rc8 21.Qh6 Qf6 22.Nf2 Qf4 23.Qxf4 Nxf4 24.Ng4 Kg7 25.e5 Nh5 26.a4 f6 27.f4 f5 28.Ne3 Nxe3 29.Rxe3 cxd4 30.cxd4 Rc4 31.g4 fxg4 32.f5 gxf5 33.Rxf5 Rc1+ 34.Kg2 Kg6 35.Rf1 Rxf1 36.Kxf1 Rc8 37.Bc3 Kf5 38.e6 Ng7 39.Re5+ Kf6 40.e7 Rxc3 41.e8=Q Nxe8 42.Rxe8 Rc4 0-1
