[Event "Junior A"]
[Site "Kristiansund, Norway"]
[Date "2026.07.06"]
[Round "3.2"]
[White "Olsen, William Alexander"]
[Black "Gjersvik, Aksel Elias"]
[Result "1-0"]
[WhiteElo "2215"]
[BlackElo "2072"]
[ECO "E81"]
[Variant "Standard"]
[Opening "King's Indian Defense: Sämisch Variation, Normal Defense"]

1.e4 d6 2.d4 Nf6 3.f3 g6 4.c4 Bg7 5.Nc3 O-O 6.Be3 Nbd7 7.Nge2 a6 8.Ng3 c5 9.d5 Ne8 10.Qd2 b5 11.cxb5 Qb6 12.a4 axb5 13.Bxb5 Nc7 14.O-O Nxb5 15.axb5 Bb7 16.f4 Ra5 17.b4 Bxc3 18.Qxc3 Rxb5 19.bxc5 Nxc5 20.Ra3 Rb8 21.Rc1 Bc8 22.h3 Bd7 23.Kh2 Qb7 24.Qe1 f5 25.Bxc5 Rxc5 26.Rxc5 dxc5 27.exf5 Qxd5 28.fxg6 hxg6 29.Qxe7 Bc6 30.Qe2 Re8 31.Qc2 Kf7 32.Rd3 Ba4 33.Rxd5 Bxc2 34.Rxc5 Bd3 35.Rc3 Bb5 36.Rc5 Bd3 37.Rg5 Kf6 38.h4 Rb8 39.Rd5 Bc4 40.Rc5 Bd3 41.h5 Rb4 42.Rc6+ Ke7 43.Rc3 Bb5 44.Rf3 Bc6 45.Rf2 Kf6 46.hxg6 Kxg6 47.Kh3 Bd7+ 48.Kh4 Rb8 49.Nf1 Kf6 50.g4 Rh8+ 51.Kg3 Rh1 52.Nh2 Rd1 53.Nf3 Rd3 54.Rd2 Rxd2 55.Nxd2 Kg6 56.Nf3 Be6 57.f5+ 1-0
