[Event "Rapid D18"]
[Site "Rzeszow"]
[Date "2026.07.11"]
[Round "3.6"]
[White "Szczotka, Klara"]
[Black "Kawka, Milena"]
[Result "0-1"]
[WhiteElo "2009"]
[BlackElo "2039"]
[ECO "E26"]
[Variant "Standard"]
[Opening "Nimzo-Indian Defense: Sämisch Variation, O'Kelly Variation"]

1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 c5 5.a3 Bxc3+ 6.bxc3 b6 7.Bd3 Bb7 8.f3 Nc6 9.Ne2 Rc8 10.e4 d6 11.O-O cxd4 12.cxd4 Na5 13.Bg5 Nxc4 14.Rc1 b5 15.e5 dxe5 16.dxe5 Qb6+ 17.Kh1 Nxe5 18.Rxc8+ Bxc8 19.Bxf6 gxf6 20.Nc3 Bd7 21.Ne4 f5 22.Qa1 Qb8 23.Nf2 O-O 24.f4 Ng6 25.Nh3 Bc6 26.Qf6 Qd8 27.Qc3 Qd5 28.Rf2 Rd8 29.Be2 Qd6 30.Qf6 Qd4 31.Qg5 Kg7 32.Rf1 Qf6 33.Qg3 Rd2 34.Bf3 Rd3 35.Qf2 Bxf3 36.gxf3 Qd4 37.Qg3 Rd1 38.Rxd1 Qxd1+ 39.Kg2 Qd2+ 40.Kh1 Qc1+ 41.Kg2 Qxa3 42.Qf2 Qd6 43.Qb2+ Kg8 44.Qxb5 Nxf4+ 45.Nxf4 Qxf4 46.Qd7 Qe3 47.h4 Kg7 48.Qb7 Qb6 49.Qd7 a5 50.h5 h6 51.Qd3 Qb4 52.Qe2 Qd4 53.Qe1 a4 54.Qg3+ Kh7 55.Qc7 Qg7+ 56.Kh3 Qf6 57.Qa7 Kg7 58.Qxa4 Qg5 59.Qd7 Qxh5+ 60.Kg3 Qg5+ 61.Kf2 Qf4 62.Qa7 h5 63.Qa1+ e5 64.Qg1+ Kh7 65.Qb1 h4 66.Qb7 Kg7 67.Qe7 e4 68.Kg1 Qg3+ 69.Kh1 h3 0-1
