[Event "Rapid C16"]
[Site "Rzeszow"]
[Date "2026.07.11"]
[Round "5.3"]
[White "Kania, Franciszek"]
[Black "Kawulski-Chodkiewicz, Alexander"]
[Result "0-1"]
[WhiteElo "2204"]
[BlackElo "2135"]
[ECO "C11"]
[Variant "Standard"]
[Opening "French Defense: Classical Variation, Burn Variation, Morozevich Line"]

1.d4 Nf6 2.Nc3 e6 3.e4 d5 4.Bg5 dxe4 5.Nxe4 Be7 6.Bxf6 gxf6 7.Nf3 f5 8.Nc3 a6 9.Bc4 b5 10.Bb3 Bb7 11.Qe2 Qd6 12.O-O-O Nd7 13.Ne5 Nxe5 14.dxe5 Qc6 15.Rhg1 h5 16.f4 Bc5 17.Rgf1 Qxg2 18.Qd3 Qc6 19.a4 b4 20.Ne2 h4 21.Nd4 Bxd4 22.Qxd4 a5 23.Rg1 Ke7 24.Qf2 Qb6 25.Qxb6 cxb6 26.Rd6 Rhg8 27.Rgd1 Rad8 28.Rxd8 Rxd8 29.Rxd8 Kxd8 30.Bc4 Ke7 31.Kd2 f6 32.Ke3 fxe5 33.fxe5 Bc6 34.b3 Be4 35.Bd3 Bxd3 36.cxd3 Kd7 37.Kf4 b5 38.axb5 a4 39.Ke3 a3 0-1
