[Event "Landsturneringen 2026"]
[Site "Kristiansund, Norway"]
[Date "2026.07.03"]
[Round "1.6"]
[White "Hansen, Torbjorn Ringdal"]
[Black "Kvaloy, Aksel Bu"]
[Result "0-1"]
[WhiteElo "2383"]
[BlackElo "2483"]
[ECO "C07"]
[Variant "Standard"]
[Opening "French Defense: Tarrasch Variation, Chistyakov Defense"]

1.e4 e6 2.d4 d5 3.Nd2 c5 4.exd5 Qxd5 5.Ngf3 cxd4 6.Bc4 Qd7 7.O-O Nc6 8.Nb3 a6 9.Nbxd4 Nxd4 10.Nxd4 Qc7 11.Bb3 Bd6 12.Kh1 Ne7 13.Qh5 O-O 14.Re1 Ng6 15.Nf3 Nf4 16.Bxf4 Bxf4 17.Rad1 b5 18.Ne5 g6 19.Qe2 Bxe5 20.Qxe5 Qxe5 21.Rxe5 Bb7 22.h4 Rfd8 23.Rxd8+ Rxd8 24.Kh2 h5 25.Kg3 Kg7 26.Rc5 Kf6 27.f3 Rd6 28.Rc7 Bd5 29.Bxd5 Rxd5 30.Ra7 Rd6 31.Kf4 Rd2 32.Kg3 Rxc2 33.Rxa6 Rxb2 34.a4 b4 35.Ra7 Ke5 36.Rxf7 Ra2 37.Rg7 Rxa4 38.Rxg6 b3 39.Rg5+ Kd4 40.Rb5 Kc3 41.Rb6 b2 0-1
