[Event "rzeszow"]
[Site "Rzeszów"]
[Date "2026.07.08"]
[Round "6.2"]
[White "Dubnevych, Maksym"]
[Black "Mulawa, Cyprian"]
[Result "1/2-1/2"]
[WhiteElo "2446"]
[BlackElo "2245"]
[ECO "C12"]
[TimeControl "15+10"]
[Variant "Standard"]
[Opening "French Defense: McCutcheon Variation, Lasker Variation"]

