[Event "X Caioba STD"]
[Site "https://lichess.org/broadcast/x-torneio-internacional-de-xadrez-sesc-caioba-standard/round-9/Yar24TEc/oAPhIkyO"]
[Date "2026.07.05"]
[Round "9.9"]
[White "Rojas Salas, Steven"]
[Black "Ribeiro, Matheus Mendes Domingues"]
[Result "1/2-1/2"]
[WhiteElo "2419"]
[BlackElo "2345"]
[ECO "C00"]
[TimeControl "90+30"]
[Variant "Standard"]
[Opening "French Defense"]

1.e4 e6 2.d4 d5 3.Qf3 dxe4 4.Qxe4 Nf6 5.Qh4 c5 6.dxc5 Bxc5 7.Nf3 Nbd7 8.Nc3 O-O 9.Bd3 Be7 10.Bg5 Re8 11.O-O-O h6 12.Ne4 Nxe4 13.Bxe7 Qxe7 14.Qxe7 Rxe7 15.Bxe4 Kf8 16.Rhe1 Nc5 17.Ne5 Nxe4 18.Rxe4 b6 19.g3 Bb7 20.Rf4 Kg8 21.Rxf7 Rxf7 22.Nxf7 Rf8 23.Nd6 Bd5 24.c4 Bc6 25.Rd2 Kh7 26.Re2 a6 27.f4 Bd7 28.Re5 Kg6 29.Kd2 Kf6 30.Ne4+ Ke7 31.Kc3 Bc6 32.Nd2 Kd6 33.b4 b5 34.Ne4+ Bxe4 35.c5+ Kd7 36.Rxe4 g5 37.Rd4+ Kc7 38.Kd3 Rf5 39.g4 Rf8 40.Ke3 a5 41.a3 axb4 42.axb4 Ra8 43.fxg5 hxg5 44.Ke4 Ra2 45.Ke5 Re2+ 46.Re4 Rxh2 47.Kf6 Rf2+ 48.Kxg5 Kd7 49.Kg6 Rc2 50.Kf6 Rf2+ 51.Ke5 Ke7 52.Kd4 Rc2 53.Rf4 Rc4+ 54.Ke3 Rc3+ 55.Kd2 Rg3 56.Re4 Rh3 57.Re3 Rh2+ 58.Kc3 Rg2 59.Re4 Rg3+ 60.Kd4 Rb3 61.Ke5 Rf3 62.Rd4 Rf1 63.Rd6 Re1+ 64.Kd4 Rd1+ 65.Kc3 Rc1+ 66.Kb2 Rc4 67.Kb3 e5 68.Rb6 e4 69.Rb7+ Kf6 70.g5+ Kxg5 71.Rxb5 e3 72.c6+ Kf6 73.Kxc4 e2 74.Rc5 e1=Q 75.c7 Qe2+ 76.Kb3 Qd1+ 77.Kb2 Qd2+ 78.Ka3 Qd3+ 79.Ka4 Qa6+ 80.Kb3 Qd3+ 81.Rc3 Qd1+ 82.Rc2 Qd3+ 83.Rc3 Qd1+ 84.Kc4 Qd7 85.Kb3 Ke5 1/2-1/2
