[Event "Rapid C14"]
[Site "Rzeszow"]
[Date "2026.07.12"]
[Round "7.2"]
[White "Serafin, Franciszek"]
[Black "Korszanski, Stanislaw"]
[Result "1-0"]
[WhiteElo "2126"]
[BlackElo "2240"]
[ECO "A46"]
[Variant "Standard"]
[Opening "Indian Defense: London System"]

1.d4 e6 2.Nf3 Nf6 3.Bf4 b6 4.e3 Bb7 5.Bd3 c5 6.c3 Nc6 7.h3 Be7 8.O-O O-O 9.Nbd2 cxd4 10.exd4 Rc8 11.Qe2 d6 12.Rfe1 Re8 13.Bh2 Bf8 14.Rad1 Na5 15.Ba6 Qd7 16.Bxb7 Qxb7 17.Ng5 Qd5 18.Nge4 Nxe4 19.Nxe4 f5 20.Ng5 Rc7 21.Nxh7 f4 22.Nxf8 Kxf8 23.Bxf4 Rf7 24.Bg3 Kg8 25.b3 Qc6 26.d5 Qxc3 27.dxe6 Rfe7 28.Qg4 Nb7 29.Bh4 Rc7 30.e7 Nc5 31.Qg6 Rcc8 32.Qxd6 Qc2 33.Qd5+ Kh8 34.Qh5+ Kg8 35.Rd8 g6 36.Qd5+ Kg7 37.Rxc8 Rxc8 38.Qe5+ Kh7 39.e8=Q 1-0
