[Event "2nd Arpad-hazi Jolan Open"]
[Site "Esztergom, Hungary"]
[Date "2026.07.08"]
[Round "1.3"]
[White "Pasztor, Balazs"]
[Black "Abheek Bhatt"]
[Result "1/2-1/2"]
[WhiteElo "2404"]
[BlackElo "2085"]
[ECO "C50"]
[TimeControl "90 minutes with 30 second increment from move 1"]
[Variant "Standard"]
[Opening "Italian Game: Giuoco Pianissimo, Normal"]

1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d3 Bc5 5.O-O d6 6.c3 a5 7.Re1 h6 8.Nbd2 O-O 9.Nf1 Be6 10.Bb5 Ne7 11.d4 Bb6 12.h3 exd4 13.Nxd4 Bd7 14.Bd3 Nc6 15.Bc2 Re8 16.Ng3 d5 17.Nxc6 Bxc6 18.e5 Ne4 19.Nxe4 dxe4 20.Qh5 g6 21.Qxh6 Rxe5 22.Be3 Rh5 23.Qf4 Rf5 24.Qg4 Bxe3 25.Rxe3 Qf6 26.Qe2 Rd8 27.Bxe4 Bxe4 28.Rxe4 Rfd5 29.Re8+ Rxe8 30.Qxe8+ Kg7 31.Qe3 Qb6 32.Qe2 Qd6 33.Qf3 b6 34.c4 Rd3 1/2-1/2
